
—— fold 1/5 —————————————————————
[eval 04500]  loss = -6.112424
[eval 04510]  loss = -4.786017
[eval 04520]  loss = -0.042334
[eval 04530]  loss = -3.668372
[eval 04540]  loss = 0.200378
[eval 04550]  loss = 1.039250
[eval 04560]  loss = -1.764273
[eval 04570]  loss = -6.301189
[eval 04580]  loss = 0.669530
[eval 04590]  loss = -6.237063
[eval 04600]  loss = -5.499415
[eval 04610]  loss = -0.218623
[eval 04620]  loss = -4.750739
[eval 04630]  loss = 2.659092
[eval 04640]  loss = 2.048684
[eval 04650]  loss = -3.883901
[eval 04660]  loss = -6.268498
[eval 04670]  loss = 1.023845
[eval 04680]  loss = -5.701426
[eval 04690]  loss = -5.948706
[eval 04700]  loss = -3.482732
[eval 04710]  loss = -2.442409
[eval 04720]  loss = 2.810723
[eval 04730]  loss = -3.677278
[eval 04740]  loss = 2.090786
[eval 04750]  loss = -6.286055
[eval 04760]  loss = -1.952340
[eval 04770]  loss = 0.457658
[eval 04780]  loss = -6.072083
[eval 04790]  loss = -1.317271
[eval 04800]  loss = -4.956106
[eval 04810]  loss = -0.979140
[eval 04820]  loss = -1.025081
[eval 04830]  loss = 4.526273
[eval 04840]  loss = -6.414718
[eval 04850]  loss = -0.117723
[eval 04860]  loss = 1.375407
[eval 04870]  loss = -5.360205
[eval 04880]  loss = -1.029642
[eval 04890]  loss = -3.813794
[eval 04900]  loss = -4.332744
[eval 04910]  loss = -6.179742
[eval 04920]  loss = -2.029095
[eval 04930]  loss = -6.298566
[eval 04940]  loss = -2.640671
[eval 04950]  loss = 4.458798
[eval 04960]  loss = -4.700436
[eval 04970]  loss = 3.665343
[eval 04980]  loss = -6.437355
[eval 04990]  loss = 1.250799
[eval 05000]  loss = -4.414761
[eval 05010]  loss = 0.386401
[eval 05020]  loss = -6.352851
[eval 05030]  loss = 0.777776
[eval 05040]  loss = 3.757434
[eval 05050]  loss = -6.218729
[eval 05060]  loss = -2.171784
[eval 05070]  loss = -5.480165
[eval 05080]  loss = 1.568282
[eval 05090]  loss = -6.202047
[eval 05100]  loss = -1.595578
[eval 05110]  loss = -6.363813
[eval 05120]  loss = 1.090775
